Name,FromYear,ToYear,Area,Type,Wikipedia,Wikidata,SeshatID,Components,MemberOf,CentroidLon,CentroidLat
Philistia,-900,-751,3137.7045289780817,POLITY,Philistia,,,,,34.8186,31.9112
Neo-Assyrian Empire,-900,-801,250500.31487280346,POLITY,Neo-Assyrian Empire,,iq_neo_assyrian_emp,,,42.2101,35.282
Phrygia,-900,-751,29488.25763432743,POLITY,Phrygia,,tr_phrygian_k,,,32.4234,39.5378
Babylonia,-900,-801,119129.9879677372,POLITY,Babylonia,,iq_dynasty_e,,,46.5275,31.4911
Zhou Dynasty,-800,-751,699623.2872120326,POLITY,Zhou dynasty,,cn_western_zhou_dyn,,,115.8664,35.3415
Kingdom of Urartu,-800,-751,53103.98089935511,POLITY,Urartu,,tr_urartu_k,,,43.986,39.3353
Kingdom of Judah,-800,-751,4404.19393580718,POLITY,Kingdom of Judah,,,,,35.1563,31.6123
Sabaeans,-800,-701,15043.526637371928,POLITY,Sabaeans,,ye_sabaean_commonwealth,,,44.9255,15.5535
Phoenicia,-800,-751,25374.461671396704,POLITY,Phoenicia,,lb_phoenician_emp,,,22.5899,35.3158
Greek City-States,-800,-751,56937.383768160405,POLITY,Polis,,,,,24.8832,37.2664
Kingdom of Kush,-800,-701,336731.145162046,POLITY,Kingdom of Kush,,,,,32.8136,19.4031
Neo-Assyrian Empire,-800,-751,519448.6319329519,POLITY,Neo-Assyrian Empire,,iq_neo_assyrian_emp,,,41.3698,35.7375
Kingdom of Israel,-800,-751,13389.527243385972,POLITY,Kingdom of Israel (united monarchy),,il_yisrael,,,35.5653,32.5348
Elam,-800,-701,59563.87380886911,POLITY,Elam,,ir_neo_elam_1,,,48.9999,31.5769
Twenty-third Dynasty of Egypt,-800,-751,61633.32249728181,POLITY,Twenty-third Dynasty of Egypt,,eg_thebes_libyan,,,31.0263,30.4097
Twenty-second Dynasty of Egypt,-800,-751,166127.9015590295,POLITY,Twenty-second Dynasty of Egypt,,eg_thebes_libyan,,,30.4837,25.8699
Jin,-750,-551,136495.40551245364,POLITY,Jin (Chinese state),,cn_jin_spring_and_autumn,,(Spring and Autumn States),113.7964,36.9647
Chu,-750,-701,353292.4864529284,POLITY,Chu (state),,,,(Chu);(Spring and Autumn States),113.585,32.1927
Kingdom of Israel,-750,-701,13389.527243385972,POLITY,Kingdom of Israel (united monarchy),,il_yisrael,,,35.5653,32.5348
Qin,-750,-451,56477.88066636073,POLITY,Qin (state),,,,(Spring and Autumn States),109.961,35.5622
Philistia,-750,-701,3138.9619812776036,POLITY,Philistia,,,,,34.8045,31.8991
Neo-Assyrian Empire,-750,-701,516106.9655839155,POLITY,Neo-Assyrian Empire,,iq_neo_assyrian_emp,,,41.3775,35.721
Twenty-second Dynasty of Egypt,-750,-701,166127.9015590295,POLITY,Twenty-second Dynasty of Egypt,,eg_thebes_libyan,,,30.4837,25.8699
Phrygia,-750,-701,78628.26226151685,POLITY,Phrygia,,tr_phrygian_k,,,32.6321,40.4436
Etruscans,-750,-651,43430.54276061378,POLITY,Etruscan civilization,,,,,12.1892,42.6791
(Spring and Autumn States),-750,-551,1008534.396365493,POLITY,Spring and Autumn Period,,,Cai;Wey;(Chu);Zheng;Qin;Zhu;Song;Xu;Jin;Chen;Chu;Wu;Later Zhou;Lu;Qi;Teng;Cao;Yan,,115.5487,34.2543
Twenty-third Dynasty of Egypt,-750,-701,61633.32249728181,POLITY,Twenty-third Dynasty of Egypt,,eg_thebes_libyan,,,31.0263,30.4097
Qi,-750,-551,102632.17941643954,POLITY,Qi (state),,cn_qi_spring_autumn,,(Spring and Autumn States),118.5384,37.1079
