Name,FromYear,ToYear,Area,Type,Wikipedia,Wikidata,SeshatID,Components,MemberOf,CentroidLon,CentroidLat
New Kingdom of Egypt,-1300,-1241,700581.5445854339,POLITY,New Kingdom of Egypt,Q180568,eg_new_k_1,,,31.7433,26.5724
New Kingdom of Egypt,-1240,-1151,700581.5445854339,POLITY,New Kingdom of Egypt,Q180568,eg_new_k_2,,,31.7433,26.5724
Babylonia,-1240,-1221,134294.44177310084,POLITY,Babylonia,Q47690,iq_babylonia_2,,,46.5519,31.6837
Shang Dynasty,-1240,-1101,154175.1809778602,POLITY,Shang dynasty,Q128938,cn_late_shang_dyn,,,115.1969,36.3879
Hittites,-1240,-1221,320454.9147799002,POLITY,Hittites,Q5406,tr_hatti_new_k,,,34.3908,38.1207
Mycenaean Greece,-1240,-1221,70173.64565925012,POLITY,Mycenaean Greece,Q181264,,,,23.183,38.18
(Alliance between Elam and Babylonia),-1240,-1221,216263.89252435553,RELATION,Elam,Q128904,ir_elam_6;iq_babylonia_2,Babylonia;Elam,,47.8359,31.4008
Assyria,-1240,-1221,445830.5749350426,POLITY,Assyria,Q41137,iq_middle_assyrian_emp,,,41.9349,36.6215
Assyria,-1220,-1201,599270.3168224652,POLITY,Assyria,Q41137,iq_middle_assyrian_emp,,,42.7738,35.5544
Hittites,-1220,-1201,300838.51591230265,POLITY,Hittites,Q5406,tr_hatti_new_k,,,34.2014,38.2396
Mycenaean Greece,-1220,-1201,71032.84240646394,POLITY,Mycenaean Greece,Q181264,,,,23.2021,38.1811
Hittites,-1200,-1151,300838.51591230265,POLITY,Hittites,Q5406,tr_hatti_new_k,,,34.2014,38.2396
Mycenaean Greece,-1200,-1151,70984.01144600367,POLITY,Mycenaean Greece,Q181264,,,,23.2022,38.1805
(Alliance between Elam and Babylonia),-1200,-1151,214605.1834530047,RELATION,Elam,Q128904,ir_elam_6;iq_babylonia_2,Babylonia;Elam,,47.8628,31.3881
Assyria,-1200,-1151,467281.9910773735,POLITY,Assyria,Q41137,iq_middle_assyrian_emp,,,41.7515,36.5929
Babylonia,-1200,-1151,132635.73270175006,POLITY,Babylonia,Q47690,iq_babylonia_2,,,46.579,31.6668
New Kingdom of Egypt,-1150,-1001,635995.8971432223,POLITY,New Kingdom of Egypt,Q180568,eg_new_k_2,,,31.3061,25.938
Elam,-1150,-1101,215099.67666294635,POLITY,Elam,Q128904,ir_elam_7,,,47.866,31.3852
Assyria,-1150,-1101,515450.6376023157,POLITY,Assyria,Q41137,iq_middle_assyrian_emp,,,41.322,36.7429
Neo-Hittite states,-1150,-1001,24443.835958766398,POLITY,Neo-Hittite states,Q770281,tr_neo_hittite_k,,,37.201,36.9058
Phoenicia,-1150,-1001,12404.97976092665,POLITY,Phoenicia,Q41642,lb_phoenician_emp,,(Phoenician Empire),35.9303,34.3893
Mycenaean Greece,-1150,-1101,58265.942614087544,POLITY,Mycenaean Greece,Q181264,,,,22.9071,37.8917
(Phoenician Empire),-1150,-1001,12404.97976092665,POLITY,Phoenicia,Q41642,,Phoenicia,,35.9303,34.3893
Philistia,-1150,-1001,10967.078013650409,POLITY,Philistia,Q7185566,,,,34.995,32.0895
Babylonia,-1100,-1001,132635.73270175006,POLITY,Babylonia,Q47690,iq_isin_dynasty2,,,46.579,31.6668
Greek Dark Ages,-1100,-1001,49235.6991,POLITY,Greek Dark Ages,Q210443,,,,23.3013,37.6876
Elam,-1100,-1001,81969.45075125474,POLITY,Elam,Q128904,ir_elam_7,,,49.9561,30.9336
Assyria,-1100,-1001,515079.55062841554,POLITY,Assyria,Q41137,iq_middle_assyrian_emp,,,41.3264,36.7428
Shang Dynasty,-1100,-1001,154175.1809778602,POLITY,Shang dynasty,Q128938,cn_late_shang_dyn,,,115.1969,36.3879
Zhou Dynasty,-1000,-801,699623.2872120326,POLITY,Zhou dynasty,Q35216,cn_western_zhou_dyn,,,115.8664,35.3415
Babylonia,-1000,-901,25191.500668384742,POLITY,Babylonia,Q47690,iq_bazi_dyn,,,44.728,32.156
