Kingdom of Mitanni	OK	tiles=6; rows=103; 23 continuity gap(s)	2026-08-17T11:33:38
Kaskas	OK	tiles=4; rows=15; 7 continuity gap(s)	2026-08-17T11:33:45
Egypt: New Kingdom	OK	tiles=14; rows=270; 59 continuity gap(s)	2026-08-17T11:33:57
Kizzuwatna	OK	tiles=2; rows=3; 2 continuity gap(s)	2026-08-17T11:34:03
Pitassa	OK	tiles=1; rows=2; 1 continuity gap(s)	2026-08-17T11:34:08
Tarhuntassa	OK	tiles=1; rows=3; 2 continuity gap(s)	2026-08-17T11:34:14
Lukka	OK	tiles=2; rows=9	2026-08-17T11:34:20
Wilusa	OK	tiles=2; rows=12; 4 continuity gap(s)	2026-08-17T11:34:26
Masa	OK	tiles=18; rows=2; 1 continuity gap(s)	2026-08-17T11:34:32
Tummanna	OK	tiles=2; rows=5; 4 continuity gap(s)	2026-08-17T11:34:37
Pala	OK	tiles=13; rows=2; 1 continuity gap(s)	2026-08-17T11:34:43
Isuwa	OK	tiles=2; rows=2; 1 continuity gap(s)	2026-08-17T11:34:49
Azzi-Hayasa	OK	tiles=3; rows=3; 2 continuity gap(s)	2026-08-17T11:34:55
Mycenaeans	OK	tiles=5; rows=116; 2 warning(s): WARNING: (Paxoi Inss.) row -1505.5..-1223.5 has conflicting colorIndex among contributing entries | WARNING: (Taphie Inss.) row -1505.5..-1223.5 has conflicting colorIndex among contributing entries	2026-08-17T11:35:04
Punt	OK	tiles=16; rows=1	2026-08-17T11:35:10
Alasiya	OK	tiles=2; rows=5; 4 continuity gap(s)	2026-08-17T11:35:16
New Hittite Kingdom	OK	tiles=10; rows=477; 2 warning(s): WARNING: Expeditionary force row -1337.6..-1337.5 has conflicting colorIndex among contributing entries | WARNING: Mira row -1248.5..-1235.5 has conflicting colorIndex among contributing entries; 165 continuity gap(s)	2026-08-17T11:35:33
Zippasla	OK	tiles=3; rows=21; 5 continuity gap(s)	2026-08-17T11:35:39
Ahhiya	OK	tiles=3; rows=38; 4 continuity gap(s)	2026-08-17T11:35:45
Hapalla	OK	tiles=1; rows=1	2026-08-17T11:35:52
Alshe	OK	tiles=1; rows=1	2026-08-17T11:35:59
Kingdom of Qadesh	OK	tiles=2; rows=3; 2 continuity gap(s)	2026-08-17T11:36:05
Nuhashshi	OK	tiles=1; rows=3; 2 continuity gap(s)	2026-08-17T11:36:12
Middle Assyrian Empire	OK	tiles=7; rows=180; 63 continuity gap(s)	2026-08-17T11:36:20
Kalasma	OK	tiles=1; rows=1	2026-08-17T11:36:27
Sea Peoples	OK	tiles=8; rows=16; 2 continuity gap(s)	2026-08-17T11:36:34
Aramaeans	OK	tiles=5; rows=5	2026-08-17T11:36:40
Ammonites	OK	tiles=1; rows=5; 4 continuity gap(s)	2026-08-17T11:36:47
Moabites	OK	tiles=1; rows=10; 3 continuity gap(s)	2026-08-17T11:36:53
Edomites	OK	tiles=4; rows=11; 7 continuity gap(s)	2026-08-17T11:36:59
Mycenaean Kingdoms	OK	tiles=2; rows=17; 1 continuity gap(s)	2026-08-17T11:37:06
Israelites	OK	tiles=3; rows=20; 4 continuity gap(s)	2026-08-17T11:37:13
Dorians	OK	tiles=8; rows=155; 2 warning(s): WARNING: Rhodos row -697.5..-660.5 has conflicting colorIndex among contributing entries | WARNING: Rhodos row -660.5..-527.5 has conflicting colorIndex among contributing entries; 52 continuity gap(s)	2026-08-17T11:37:21
Phrygians	OK	tiles=9; rows=19; 4 continuity gap(s)	2026-08-17T11:37:28
Aeolians	OK	tiles=8; rows=28; 4 continuity gap(s)	2026-08-17T11:37:34
Thracians	OK	tiles=4; rows=1	2026-08-17T11:37:41
Cimmerians	OK	tiles=16; rows=8; 1 continuity gap(s)	2026-08-17T11:37:48
Ionians	OK	tiles=14; rows=487; 18 warning(s): WARNING: Miletus row -657.5..-647.5 has conflicting colorIndex among contributing entries | WARNING: Miletus row -647.5..-627.5 has conflicting colorIndex among contributing entries | WARNING: Miletus row -627.5..-610.5 has conflicting colorIndex among contributing entries; 133 continuity gap(s)	2026-08-17T11:38:03
Assyrian revolt	OK	tiles=4; rows=5	2026-08-17T11:38:10
Kingdom of Melid	OK	tiles=1; rows=11; 7 continuity gap(s)	2026-08-17T11:38:16
Kingdom of Kummuh	OK	tiles=1; rows=5; 4 continuity gap(s)	2026-08-17T11:38:23
Gurgum	OK	tiles=1; rows=5; 3 continuity gap(s)	2026-08-17T11:38:29
Patin (Unqi)	OK	tiles=1; rows=6; 4 continuity gap(s)	2026-08-17T11:38:36
Tabal	OK	tiles=3; rows=18; 4 continuity gap(s)	2026-08-17T11:38:43
Kingdom of Hamath	OK	tiles=2; rows=11; 7 continuity gap(s)	2026-08-17T11:38:49
Kingdom of Carchemish	OK	tiles=1; rows=16; 12 continuity gap(s)	2026-08-17T11:38:55
Que	OK	tiles=50; rows=4; 3 continuity gap(s)	2026-08-17T11:39:03
Phoenicians	OK	tiles=14; rows=134; 28 continuity gap(s)	2026-08-17T11:39:11
Cypriot Kingdoms	OK	tiles=2; rows=64; 49 continuity gap(s)	2026-08-17T11:39:18
Philistines	OK	tiles=2; rows=11	2026-08-17T11:39:25
