Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,FullPath,Region,Subregion,ColorR,ColorG,ColorB,Generated,SourceRun,OverlapNote,geometry
274,Levinthos,-1040.5,-469.5,11.3,POLITY,,(Ionians),Ionians - Levinthos,Southwest Asia,Anatolia-Caucasus,240,194,230,2026-08-21,Ionians,,"POLYGON ((26.42339 36.998, 26.42025 36.9977, 26.42106 36.995…"
275,Miletus,-512.5,-497.5,526.4,POLITY,,(Ionians),Ionians - Miletus,Central and Northern Eurasia,Siberia,240,198,232,2026-08-21,Ionians,,"MULTIPOLYGON (((35.36369 44.98806, 35.36314 44.98789, 35.359…"
276,Borysthenes/Olbia,-647.5,-1.0,108.4,POLITY,,(Miletus),Ionians - Miletus - Borysthenes/Olbia,Central and Northern Eurasia,Pontic-Caspian,240,196,239,2026-08-21,Ionians,,"POLYGON ((31.8707 46.787, 31.859 46.7824, 31.848 46.7763, 31…"
277,Pantikapaion,-604.5,-480.5,235.9,POLITY,,(Miletus),Ionians - Miletus - Pantikapaion,Central and Northern Eurasia,Siberia,240,197,230,2026-08-21,Ionians,,"POLYGON ((36.4166 45.4377, 36.4065 45.4303, 36.3973 45.4217,…"
278,Theodosia,-546.5,-480.5,182.1,POLITY,,(Miletus),Ionians - Miletus - Theodosia,Central and Northern Eurasia,Siberia,240,198,232,2026-08-21,Ionians,,"POLYGON ((35.39553 44.99781, 35.36369 44.98806, 35.36314 44.…"
279,Mylae,-716.5,-494.2,116.0,POLITY,,(Ionians),Ionians - Mylae,Europe,Southern Europe,240,195,237,2026-08-21,Ionians,,"POLYGON ((15.1664 38.1527, 15.1675 38.1509, 15.1766 38.1423,…"
280,Naxos (Sicily),-734.4,-495.5,161.5,POLITY,,(Ionians),Ionians - Naxos (Sicily),Europe,Southern Europe,240,195,228,2026-08-21,Ionians,,"POLYGON ((15.3337 37.8985, 15.3315 37.8995, 15.3214 37.9069,…"
281,Nymphaion,-570.5,-480.5,118.1,POLITY,,(Ionians),Ionians - Nymphaion,Central and Northern Eurasia,Siberia,240,197,230,2026-08-21,Ionians,,"MULTIPOLYGON (((36.3826 45.3051, 36.3893 45.2945, 36.3973 45…"
282,Oliaros,-1040.5,-469.5,36.9,POLITY,,(Ionians),Ionians - Oliaros,Europe,Southern Europe,240,194,229,2026-08-21,Ionians,,"POLYGON ((25.07136 36.94328, 25.07364 36.94464, 25.07422 36.…"
283,Paros,-1040.5,-491.5,195.4,POLITY,,(Ionians),Ionians - Paros,Europe,Southern Europe,240,194,227,2026-08-21,Ionians,,"POLYGON ((25.17961 36.98089, 25.18589 36.98131, 25.19619 36.…"
