Cities	OK	2585 features	2026-08-22T18:08:08
Civil war	OK	1 features	2026-08-22T18:08:08
Colchis	OK	5 features	2026-08-22T18:08:08
Cong	OK	1 features	2026-08-22T18:08:08
Corcyra	OK	36 features	2026-08-22T18:08:08
Corinthia	OK	69 features	2026-08-22T18:08:08
Coronea	OK	1 features	2026-08-22T18:08:08
Cossaeans	OK	1 features	2026-08-22T18:08:08
Cretan City States	OK	146 features	2026-08-22T18:08:08
Croton	OK	14 features	2026-08-22T18:08:08
Cushitic People	OK	1 features	2026-08-22T18:08:08
Cypriot Kingdoms	OK	64 features	2026-08-22T18:08:08
Cyzicus	OK	1 features	2026-08-22T18:08:08
D'mt	OK	1 features	2026-08-22T18:08:08
Dai	OK	1 features	2026-08-22T18:08:08
Dai(2)	OK	1 features	2026-08-22T18:11:54
Dali	OK	1 features	2026-08-22T18:11:54
Dan	OK	1 features	2026-08-22T18:11:54
Dao	OK	1 features	2026-08-22T18:11:54
Daoi	OK	1 features	2026-08-22T18:11:54
Dapeng	OK	1 features	2026-08-22T18:11:54
Daradas	OK	1 features	2026-08-22T18:11:54
Dasarnas	OK	1 features	2026-08-22T18:11:54
Dassaretis	OK	3 features	2026-08-22T18:11:54
Daunians	OK	1 features	2026-08-22T18:11:54
Dayenu	OK	1 features	2026-08-22T18:11:54
Delian League	OK	493 features	2026-08-22T18:11:54
Deng	OK	3 features	2026-08-22T18:11:54
Desert Cultures	OK	1 features	2026-08-22T18:11:54
Di	OK	21 features	2026-08-22T18:11:54
Di(2)	OK	1 features	2026-08-22T18:11:54
Diauekhi	OK	4 features	2026-08-22T18:11:54
Dilmun	OK	1 features	2026-08-22T18:11:54
Dolopia	OK	2 features	2026-08-22T18:11:54
Domain of Amphimakhos	OK	1 features	2026-08-22T18:11:54
Domain of Antigenes	OK	1 features	2026-08-22T18:11:54
Domain of Antigonus	OK	134 features	2026-08-22T18:11:54
Domain of Asandros	OK	23 features	2026-08-22T18:11:54
Domain of Cassander	OK	226 features	2026-08-22T18:11:54
Domain of Eudemus	OK	1 features	2026-08-22T18:11:54
Domain of Eumenes	OK	6 features	2026-08-22T18:11:54
Domain of Lysimakhos	OK	8 features	2026-08-22T18:11:54
Domain of Mithridates	OK	3 features	2026-08-22T18:11:54
Domain of Oxyartes	OK	1 features	2026-08-22T18:11:54
Domain of Peithon	OK	6 features	2026-08-22T18:11:54
Domain of Peithon (son of Agenor)	OK	1 features	2026-08-22T18:11:54
Domain of Peukestas	OK	2 features	2026-08-22T18:11:54
Domain of Philip	OK	1 features	2026-08-22T18:11:54
Domain of Philoxenos	OK	2 features	2026-08-22T18:11:54
Domain of Polyperchon	OK	40 features	2026-08-22T18:11:54
Domain of Ptolemy	OK	141 features	2026-08-22T18:11:54
Domain of Seleucus	OK	20 features	2026-08-22T18:11:54
Domain of Sibyrtios	OK	2 features	2026-08-22T18:11:54
Domain of Stasandros	OK	2 features	2026-08-22T18:11:54
Domain of Stasanor	OK	2 features	2026-08-22T18:11:54
Domain of Tlepolemos	OK	2 features	2026-08-22T18:11:54
Donghu	OK	1 features	2026-08-22T18:11:54
Dongyi Peoples	OK	2 features	2026-08-22T18:11:54
Dorians	OK	177 features	2026-08-22T18:11:54
Doris	OK	2 features	2026-08-22T18:11:54
Dravidians	OK	30 features	2026-08-22T18:11:54
Du	OK	1 features	2026-08-22T18:11:54
Duan	OK	2 features	2026-08-22T18:11:54
Duchy of Jin	OK	93 features	2026-08-22T18:11:54
Dun	OK	1 features	2026-08-22T18:11:54
Dvaraka	OK	1 features	2026-08-22T18:11:54
E	OK	6 features	2026-08-22T18:11:54
East African Peoples	OK	3 features	2026-08-22T18:11:54
Eastern Guo	OK	3 features	2026-08-22T18:11:54
Eastern Woodland Peoples	OK	3 features	2026-08-22T18:11:54
Edomites	OK	15 features	2026-08-22T18:11:54
Egypt: (Herakleopolis)	OK	9 features	2026-08-22T18:11:54
Egypt: (Hermopolis)	OK	2 features	2026-08-22T18:11:54
Egypt: Areas of Unrest	OK	103 features	2026-08-22T18:11:54
Egypt: Heracleopolitans	OK	71 features	2026-08-22T18:11:54
Egypt: Hyksos	OK	88 features	2026-08-22T18:14:11
Egypt: Middle Kingdom	OK	249 features	2026-08-22T18:14:11
Egypt: New Kingdom	OK	272 features	2026-08-22T18:14:11
Egypt: Old Kdm	OK	83 features	2026-08-22T18:14:11
Egypt: Rebellion of Pedubast	OK	13 features	2026-08-22T18:14:11
Egypt: Revolt of Amasis	OK	1 features	2026-08-22T18:14:11
Egypt: Tanites	OK	19 features	2026-08-22T18:14:11
Egypt: Thebans	OK	161 features	2026-08-22T18:14:11
Egypt: Thirtieth Dynasty	OK	51 features	2026-08-22T18:14:11
Egypt: Twenty Eighth Dynasty	OK	47 features	2026-08-22T18:14:11
Egypt: Twenty Fourth Dynasty	OK	42 features	2026-08-22T18:14:11
Egypt: Twenty Ninth Dynasty	OK	44 features	2026-08-22T18:14:11
Egypt: Twenty Second Dynasty	OK	73 features	2026-08-22T18:14:11
Egypt: Twenty Sixth Dynasty	OK	107 features	2026-08-22T18:14:11
Egypt: Twenty Sixth Dynasty Tributary	OK	2 features	2026-08-22T18:14:11
Egypt: Twenty Third Dynasty	OK	61 features	2026-08-22T18:14:11
El Paraiso Culture	OK	2 features	2026-08-22T18:14:11
Elam	OK	166 features	2026-08-22T18:14:11
Elamite Tributary	OK	34 features	2026-08-22T18:14:11
Elimiotis	OK	2 features	2026-08-22T18:14:11
Elis	OK	38 features	2026-08-22T18:14:11
Ellipi	OK	8 features	2026-08-22T18:14:11
Elymians	OK	3 features	2026-08-22T18:14:11
Enchele	OK	1 features	2026-08-22T18:14:11
Enzite	OK	1 features	2026-08-22T18:14:11
Eordaia	OK	1 features	2026-08-22T18:14:11
Epicnemidian Locris	OK	7 features	2026-08-22T18:14:11
Epidauria	OK	1 features	2026-08-22T18:14:11
Epirote Ally	OK	37 features	2026-08-22T18:14:11
Er	OK	1 features	2026-08-22T18:14:11
Eretria	OK	9 features	2026-08-22T18:14:11
Eriakhi	OK	3 features	2026-08-22T18:14:11
Erikuakhi	OK	3 features	2026-08-22T18:14:11
Erligang Culture	OK	1 features	2026-08-22T18:14:11
Erlitou Culture	OK	2 features	2026-08-22T18:14:11
Etiukhi	OK	3 features	2026-08-22T18:14:11
Etiuni	OK	5 features	2026-08-22T18:14:11
Etruria	OK	152 features	2026-08-22T18:14:11
Etruscans	OK	20 features	2026-08-22T18:14:11
Euboea	OK	9 features	2026-08-22T18:14:11
Fan	OK	1 features	2026-08-22T18:14:11
Fan clan	OK	2 features	2026-08-22T18:14:11
Fan(2)	OK	1 features	2026-08-22T18:14:11
Fang	OK	1 features	2026-08-22T18:14:11
Fei	OK	1 features	2026-08-22T18:14:11
Feng	OK	1 features	2026-08-22T18:14:11
Finns	OK	9 features	2026-08-22T18:14:11
Gandhara	OK	8 features	2026-08-22T18:14:11
Gao	OK	2 features	2026-08-22T18:14:11
Gaoluo	OK	1 features	2026-08-22T18:14:11
Garamantes	OK	1 features	2026-08-22T18:14:11
Ge	OK	1 features	2026-08-22T18:14:11
Gedrosia	OK	1 features	2026-08-22T18:14:11
Gela	OK	20 features	2026-08-22T18:14:11
Geng	OK	1 features	2026-08-22T18:14:11
Genmou	OK	1 features	2026-08-22T18:14:11
Geshur	OK	1 features	2026-08-22T18:14:11
Getae	OK	7 features	2026-08-22T18:14:11
Gilead	OK	2 features	2026-08-22T18:14:11
Gilzanu	OK	3 features	2026-08-22T18:14:11
Gojoseon	OK	1 features	2026-08-22T18:15:56
Gong	OK	2 features	2026-08-22T18:15:56
Gong(2)	OK	1 features	2026-08-22T18:15:56
Great Chiefs of the Meshwesh	OK	12 features	2026-08-22T18:15:56
Greco-Bactrian Kingdom	OK	1 features	2026-08-22T18:15:56
Greek Alliance	OK	101 features	2026-08-22T18:15:56
Greek mercenaries	OK	6 features	2026-08-22T18:15:56
Greeks	OK	20 features	2026-08-22T18:15:56
Gu	OK	1 features	2026-08-22T18:15:56
Gu(2)	OK	1 features	2026-08-22T18:15:56
Guang	OK	1 features	2026-08-22T18:15:56
Gui	OK	1 features	2026-08-22T18:15:56
Guifang	OK	7 features	2026-08-22T18:15:56
Guo	OK	1 features	2026-08-22T18:15:56
Gurgum	OK	5 features	2026-08-22T18:15:56
Guti	OK	66 features	2026-08-22T18:15:56
Guti Tributary	OK	29 features	2026-08-22T18:15:56
Guzanu	OK	2 features	2026-08-22T18:15:56
Guzhu	OK	1 features	2026-08-22T18:15:56
Haihayas	OK	1 features	2026-08-22T18:15:56
Haliartos	OK	1 features	2026-08-22T18:15:56
Hamaranu	OK	1 features	2026-08-22T18:15:56
Han	OK	1 features	2026-08-22T18:15:56
Han(2)	OK	1 features	2026-08-22T18:15:56
Hann	OK	28 features	2026-08-22T18:15:56
Hann clan	OK	5 features	2026-08-22T18:15:56
Hapalla	OK	1 features	2026-08-22T18:15:56
