Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,Generated,SourceRun,geometry
75,Roman Republic,-263.5,-261.5,28537.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.66728 41.45889, 12.65603 41.45883, 12.65 …"
76,Roman Republic,-261.5,-260.3,40243.6,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
77,Roman Republic,-260.3,-259.6,43726.1,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
78,Roman Republic,-259.6,-258.5,43889.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
79,Roman Republic,-258.5,-258.3,46021.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
80,Roman Republic,-258.3,-254.1,46964.0,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
81,Roman Republic,-254.1,-1.0,49551.8,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
82,Antium,-467.6,-459.8,112.8,POLITY,,(Roman Republic),240,240,172,2026-08-16,Roman Republic,"POLYGON ((12.72661 41.43525, 12.7282 41.4355, 12.729 41.448,…"
83,Antium,-459.6,-389.9,112.8,POLITY,,(Roman Republic),240,240,172,2026-08-16,Roman Republic,"POLYGON ((12.72661 41.43525, 12.7282 41.4355, 12.729 41.448,…"
84,Antium,-377.4,-347.7,112.8,POLITY,,(Roman Republic),240,240,172,2026-08-16,Roman Republic,"POLYGON ((12.72661 41.43525, 12.7282 41.4355, 12.729 41.448,…"
85,Anxur,-509.4,-507.5,155.5,POLITY,,(Roman Republic),240,241,167,2026-08-16,Roman Republic,"POLYGON ((13.3479 41.2897, 13.3481 41.3037, 13.3458 41.3161,…"
86,Anxur,-406.5,-402.5,155.5,POLITY,,(Roman Republic),240,241,167,2026-08-16,Roman Republic,"POLYGON ((13.3479 41.2897, 13.3481 41.3037, 13.3458 41.3161,…"
87,Anxur,-400.5,-338.5,155.5,POLITY,,(Roman Republic),240,241,167,2026-08-16,Roman Republic,"POLYGON ((13.3479 41.2897, 13.3481 41.3037, 13.3458 41.3161,…"
88,Campania,-340.2,-1.0,1645.3,POLITY,,(Roman Republic),240,242,170,2026-08-16,Roman Republic,"POLYGON ((13.91642 41.02183, 13.9327 41.03164, 13.9335 41.03…"
89,Capena,-395.5,-338.5,174.8,POLITY,,(Roman Republic),240,241,170,2026-08-16,Roman Republic,"POLYGON ((12.4083 42.1197, 12.4186 42.1321, 12.42447 42.1409…"
90,Crustumerium,-500.5,-482.5,50.5,POLITY,,(Roman Republic),240,240,168,2026-08-16,Roman Republic,"POLYGON ((12.5767 41.9917, 12.5792 41.9992, 12.5833 42.0042,…"
91,Crustumerium,-405.7,-338.5,50.5,POLITY,,(Roman Republic),240,240,168,2026-08-16,Roman Republic,"POLYGON ((12.5767 41.9917, 12.5792 41.9992, 12.5833 42.0042,…"
92,Falerii,-394.6,-357.7,161.0,POLITY,,(Roman Republic),240,241,171,2026-08-16,Roman Republic,"POLYGON ((12.443 42.19795, 12.44375 42.20458, 12.44267 42.21…"
93,Ferentinum,-361.7,-358.6,18.1,POLITY,,(Roman Republic),240,242,164,2026-08-16,Roman Republic,"POLYGON ((13.2782 41.6958, 13.2776 41.6989, 13.2766 41.7019,…"
94,Ficulea,-504.4,-338.5,40.4,POLITY,,(Roman Republic),240,240,167,2026-08-16,Roman Republic,"POLYGON ((12.5767 41.9917, 12.5883 41.9867, 12.605 41.9808, …"
95,Fidenae,-504.4,-482.5,31.2,POLITY,,(Roman Republic),240,240,166,2026-08-16,Roman Republic,"POLYGON ((12.49722 41.94673, 12.49925 41.94584, 12.50206 41.…"
96,Fidenae,-474.5,-438.5,31.2,POLITY,,(Roman Republic),240,240,166,2026-08-16,Roman Republic,"POLYGON ((12.49722 41.94673, 12.49925 41.94584, 12.50206 41.…"
97,Gabii,-341.2,-338.5,57.6,POLITY,,(Roman Republic),240,242,169,2026-08-16,Roman Republic,"POLYGON ((12.6508 41.85, 12.6575 41.8492, 12.6667 41.8492, 1…"
98,Garrison,-282.6,-282.4,199.0,POLITY,,(Roman Republic),240,243,166,2026-08-16,Roman Republic,"POLYGON ((16.55208 39.64786, 16.53614 39.66025, 16.52836 39.…"
99,Garrison,-282.4,-282.3,533.4,POLITY,,(Roman Republic),240,243,166,2026-08-16,Roman Republic,"MULTIPOLYGON (((15.638 38.01672, 15.64078 38.02397, 15.65106…"
100,Garrison,-282.3,-281.2,334.5,POLITY,,(Roman Republic),240,243,166,2026-08-16,Roman Republic,"MULTIPOLYGON (((15.638 38.01672, 15.64078 38.02397, 15.65106…"
101,Garrison,-281.2,-280.4,533.4,POLITY,,(Roman Republic),240,243,166,2026-08-16,Roman Republic,"MULTIPOLYGON (((15.638 38.01672, 15.64078 38.02397, 15.65106…"
102,Garrison,-280.3,-278.9,154.4,POLITY,,(Roman Republic),240,243,166,2026-08-16,Roman Republic,"POLYGON ((15.6533 38.0109, 15.6657 38.0125, 15.6779 38.0156,…"
103,Garrison,-272.5,-1.0,200.7,POLITY,,(Roman Republic),240,243,166,2026-08-16,Roman Republic,"POLYGON ((17.27575 40.38136, 17.2907 40.3865, 17.3008 40.393…"
104,Labicum,-418.2,-338.5,46.8,POLITY,,(Roman Republic),240,241,165,2026-08-16,Roman Republic,"POLYGON ((12.7633 41.7625, 12.7642 41.77, 12.7617 41.78, 12.…"
105,Lavinium,-341.2,-338.5,111.5,POLITY,,(Roman Republic),240,242,171,2026-08-16,Roman Republic,"POLYGON ((12.4625 41.7333, 12.4775 41.7275, 12.4908 41.715, …"
106,Pontine district,-387.5,-338.5,221.0,POLITY,,(Roman Republic),240,241,173,2026-08-16,Roman Republic,"POLYGON ((12.777 41.573, 12.8203 41.563, 12.8753 41.548, 12.…"
107,Praeneste,-499.5,-492.5,411.2,POLITY,,(Roman Republic),240,240,164,2026-08-16,Roman Republic,"POLYGON ((12.9075 41.9108, 12.9142 41.9092, 12.9225 41.9042,…"
108,Satricum,-385.5,-381.6,35.6,POLITY,,(Roman Republic),240,242,160,2026-08-16,Roman Republic,"POLYGON ((12.7811 41.524, 12.7803 41.5283, 12.7789 41.5325, …"
109,Satricum,-348.5,-347.7,35.6,POLITY,,(Roman Republic),240,242,160,2026-08-16,Roman Republic,"POLYGON ((12.7811 41.524, 12.7803 41.5283, 12.7789 41.5325, …"
110,Veii,-396.5,-338.5,646.4,POLITY,,(Roman Republic),240,241,169,2026-08-16,Roman Republic,"POLYGON ((12.18172 41.87075, 12.20197 41.87533, 12.20381 41.…"
