Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,Generated,SourceRun,geometry
57,Aequi,-290.2,-1.0,345.3,POLITY,,(Roman Ally),248,210,114,2026-08-16,Roman Ally,"POLYGON ((13.68031 42.18903, 13.6787 42.1618, 13.6815 42.120…"
58,Apulia,-318.5,-1.0,6344.4,POLITY,,(Roman Ally),248,209,114,2026-08-16,Roman Ally,"POLYGON ((16.271 41.3141, 16.2607 41.2955, 16.2214 41.2686, …"
59,Apulia,-304.2,-303.7,817.7,TRANSIENT,,(Roman Ally),248,209,125,2026-08-16,Roman Ally,"POLYGON ((16.0831 40.9593, 16.1597 40.9593, 16.259 40.9386, …"
60,Army,-304.2,-303.7,817.7,TRANSIENT,,(Apulia),248,209,125,2026-08-16,Roman Ally,"POLYGON ((16.0831 40.9593, 16.1597 40.9593, 16.259 40.9386, …"
61,Aritim,-310.4,-302.8,1388.3,POLITY,,(Roman Ally),248,209,119,2026-08-16,Roman Ally,"POLYGON ((12.0167 43.7633, 12.0367 43.755, 12.0217 43.7383, …"
62,Aritim,-302.6,-295.8,1388.3,POLITY,,(Roman Ally),248,209,119,2026-08-16,Roman Ally,"POLYGON ((12.0167 43.7633, 12.0367 43.755, 12.0217 43.7383, …"
63,Arretium,-266.5,-1.0,1388.3,POLITY,,(Roman Ally),248,211,115,2026-08-16,Roman Ally,"POLYGON ((12.0167 43.7633, 12.0367 43.755, 12.0217 43.7383, …"
64,Aurunci,-334.5,-313.3,267.8,POLITY,,(Roman Ally),248,208,127,2026-08-16,Roman Ally,"POLYGON ((13.84761 41.27486, 13.863 41.2729, 13.8982 41.2647…"
65,Aurunci,-313.3,-1.0,185.7,POLITY,,(Roman Ally),248,208,127,2026-08-16,Roman Ally,"POLYGON ((13.9748 41.2458, 13.9841 41.2429, 14.0317 41.2378,…"
66,Bruttian League,-267.5,-1.0,8943.7,POLITY,,(Roman Ally),248,210,127,2026-08-16,Roman Ally,"POLYGON ((16.4708 38.6175, 16.4708 38.5442, 16.4408 38.4942,…"
67,Caere,-353.5,-273.5,873.3,POLITY,,(Roman Ally),248,210,123,2026-08-16,Roman Ally,"POLYGON ((12.0241 42.2093, 12.0614 42.23, 12.1152 42.2672, 1…"
68,Caisra,-390.6,-353.9,1318.1,POLITY,,(Roman Ally),248,208,114,2026-08-16,Roman Ally,"POLYGON ((12.0241 42.2093, 12.0614 42.23, 12.1152 42.2672, 1…"
69,Campania,-343.2,-341.2,1645.3,POLITY,,(Roman Ally),248,208,116,2026-08-16,Roman Ally,"POLYGON ((13.91642 41.02183, 13.9327 41.03164, 13.9335 41.03…"
70,Catane,-263.3,-1.0,756.9,POLITY,,(Roman Ally),248,211,122,2026-08-16,Roman Ally,"POLYGON ((14.98 37.3975, 14.9617 37.4008, 14.9417 37.4042, 1…"
71,Clevsin,-310.6,-295.8,1024.1,POLITY,,(Roman Ally),248,209,116,2026-08-16,Roman Ally,"POLYGON ((11.7114 43.1669, 11.759 43.1731, 11.7983 43.1752, …"
72,Clusium,-266.5,-1.0,1024.1,POLITY,,(Roman Ally),248,211,117,2026-08-16,Roman Ally,"POLYGON ((11.7114 43.1669, 11.759 43.1731, 11.7983 43.1752, …"
73,Cora,-338.5,-1.0,39.4,POLITY,,(Roman Ally),248,208,124,2026-08-16,Roman Ally,"POLYGON ((12.9831 41.6569, 12.9742 41.6501, 12.9556 41.6346,…"
74,Corito,-266.5,-1.0,1036.4,POLITY,,(Roman Ally),248,211,116,2026-08-16,Roman Ally,"POLYGON ((11.6555 43.32, 11.701 43.3304, 11.7507 43.3386, 11…"
75,Croton,-277.5,-276.5,1134.6,POLITY,,(Roman Ally),248,210,121,2026-08-16,Roman Ally,"POLYGON ((16.58731 38.45781, 16.58481 38.47534, 16.58472 38.…"
76,Croton,-274.5,-1.0,1134.6,POLITY,,(Roman Ally),248,210,121,2026-08-16,Roman Ally,"POLYGON ((16.58731 38.45781, 16.58481 38.47534, 16.58472 38.…"
77,Curtun,-310.4,-295.8,1036.4,POLITY,,(Roman Ally),248,209,118,2026-08-16,Roman Ally,"POLYGON ((11.6555 43.32, 11.701 43.3304, 11.7507 43.3386, 11…"
