Search Term,Date From,Date To,Center Lat,Center Lon,WHE 1,WHE 2,Wiki 1,Wiki 2
babylonian tributary,-1764,-1702,34.8,43.1,,,https://en.wikipedia.org/wiki/Babylonian_Tributary,
bactrians,-1700,-546,36.8,65.0,,,https://en.wikipedia.org/wiki/Bactrians,
bahamas,1990,,25.0,-77.5,https://www.worldhistory.org/Bahamas/,,https://en.wikipedia.org/wiki/Bahamas,
baipu,-770,-524,29.1,110.8,,,https://en.wikipedia.org/wiki/Baipu,
balts,-2050,-1,54.2,26.2,,,https://en.wikipedia.org/wiki/Balts,
bantu peoples,-2000,-1,-1.0,18.7,,,https://en.wikipedia.org/wiki/Bantu_Peoples,
bao,-771,-500,32.5,107.5,,,https://en.wikipedia.org/wiki/Bao,
bao clan,-500,-482,37.5,117.5,,,https://en.wikipedia.org/wiki/Bao_Clan,
barbados,1990,,12.5,-57.5,,,https://en.wikipedia.org/wiki/Barbados,
bedouins,-1990,-843,30.6,34.7,,,https://en.wikipedia.org/wiki/Bedouins,
belize,1990,,17.5,-87.5,https://www.worldhistory.org/Belize/,,https://en.wikipedia.org/wiki/Belize,
bell beaker peoples,-2400,-2050,52.9,12.4,,,https://en.wikipedia.org/wiki/Bell_Beaker_Peoples,
benin,1990,,10.0,2.5,https://www.worldhistory.org/Benin/,,https://en.wikipedia.org/wiki/Benin,
berbers,-2400,-1,33.8,-0.9,https://www.worldhistory.org/Berbers/,,https://en.wikipedia.org/wiki/Berbers,
bessaei,-470,-342,42.5,24.0,,,https://en.wikipedia.org/wiki/Bessaei,
bhagga,-610,-560,27.5,82.5,,,https://en.wikipedia.org/wiki/Bhagga,
bhojas,-322,-302,22.5,77.5,,,https://en.wikipedia.org/wiki/Bhojas,
bhutan,1990,,27.5,90.0,https://www.worldhistory.org/Bhutan/,,https://en.wikipedia.org/wiki/Bhutan,
bit agusi,-900,-606,37.5,37.5,,,https://en.wikipedia.org/wiki/Bit_Agusi,
bit-adini,-1076,-859,37.5,37.5,,,https://en.wikipedia.org/wiki/Bit-Adini,
bit-bahiani,-1076,-896,37.5,40.0,,,https://en.wikipedia.org/wiki/Bit-Bahiani,
bit-halupe,-1076,-894,37.5,40.0,,,https://en.wikipedia.org/wiki/Bit-Halupe,
bit-zamani,-1026,-882,37.5,40.0,,,https://en.wikipedia.org/wiki/Bit-Zamani,
bithynia,-323,-1,42.5,30.3,https://www.worldhistory.org/Bithynia/,,https://en.wikipedia.org/wiki/Bithynia,
bithynians,-696,-552,42.5,29.6,,,https://en.wikipedia.org/wiki/Bithynians,
biyang,-770,-564,32.5,117.5,,,https://en.wikipedia.org/wiki/Biyang,
bo,-770,-640,32.5,112.5,https://www.worldhistory.org/Bo/,,https://en.wikipedia.org/wiki/Bo,
boeotia,-730,-338,37.5,22.5,https://www.worldhistory.org/Boeotia/,,https://en.wikipedia.org/wiki/Boeotia,
bolivia,1990,,-15.0,-62.5,https://www.worldhistory.org/Bolivia/,,https://en.wikipedia.org/wiki/Bolivia,
bosnia and herzegovina,1990,,45.0,18.0,,,https://en.wikipedia.org/wiki/Bosnia_And_Herzegovina,
bosporan kingdom,-480,-1,46.7,37.3,https://www.worldhistory.org/Bosporan_Kingdom/,,https://en.wikipedia.org/wiki/Bosporan_Kingdom,
botswana,1990,,-22.5,22.5,,,https://en.wikipedia.org/wiki/Botswana,
bottiaeans,-650,-492,42.5,21.0,,,https://en.wikipedia.org/wiki/Bottiaeans,
brahmana,-610,-468,27.5,82.5,,,https://en.wikipedia.org/wiki/Brahmana,
brunei,1990,,5.0,115.0,,,https://en.wikipedia.org/wiki/Brunei,
bruttian league,-356,-268,38.4,17.0,,,https://en.wikipedia.org/wiki/Bruttian_League,
bruttians,-450,-400,37.5,17.5,,,https://en.wikipedia.org/wiki/Bruttians,
bruttii,-500,-436,37.5,17.5,,,https://en.wikipedia.org/wiki/Bruttii,
bu geng,-770,-534,32.5,112.5,,,https://en.wikipedia.org/wiki/Bu_Geng,
burkina faso,1990,,12.5,-2.5,,,https://en.wikipedia.org/wiki/Burkina_Faso,
burundi,1990,,-2.5,30.0,,,https://en.wikipedia.org/wiki/Burundi,
byzantium,-356,-1,42.5,27.0,https://www.worldhistory.org/Byzantium/,,https://en.wikipedia.org/wiki/Byzantium,
cai,-770,-448,32.5,114.8,https://www.worldhistory.org/Cai/,,https://en.wikipedia.org/wiki/Cai,
california peoples,-2400,-1,37.0,-120.6,,,https://en.wikipedia.org/wiki/California_Peoples,
callatis,-360,-1,42.5,27.0,,,https://en.wikipedia.org/wiki/Callatis,
cameroon,1990,,7.5,12.5,,,https://en.wikipedia.org/wiki/Cameroon,
campania,-438,-343,42.5,15.0,https://www.worldhistory.org/Campania/,,https://en.wikipedia.org/wiki/Campania,
campanians,-370,-345,37.5,12.5,,,https://en.wikipedia.org/wiki/Campanians,
canaanites,-1850,-1146,32.5,35.9,,,https://en.wikipedia.org/wiki/Canaanites,
cao,-770,-488,35.1,116.6,https://www.worldhistory.org/Cao/,,https://en.wikipedia.org/wiki/Cao,
cape verde,1990,,15.0,-25.0,https://www.worldhistory.org/Cape_Verde/,,https://en.wikipedia.org/wiki/Cape_Verde,
carduchii,-386,-384,37.5,42.5,,,https://en.wikipedia.org/wiki/Carduchii,
carians,-1202,-544,37.5,27.5,,,https://en.wikipedia.org/wiki/Carians,
caribbean peoples,-2400,-1,16.4,-72.5,,,https://en.wikipedia.org/wiki/Caribbean_Peoples,
carthage,-602,-1,37.2,12.1,https://www.worldhistory.org/carthage/,,https://en.wikipedia.org/wiki/Carthage,
carthaginian ally,-500,-277,35.2,6.4,,,https://en.wikipedia.org/wiki/Carthaginian_Ally,
carthaginian tributary,-405,-376,37.5,12.5,,,https://en.wikipedia.org/wiki/Carthaginian_Tributary,
carystus,-386,-294,37.5,22.5,https://www.worldhistory.org/Carystus/,,https://en.wikipedia.org/wiki/Carystus,
catane,-462,-270,37.5,14.6,,,https://en.wikipedia.org/wiki/Catane,
caucasians,-2400,-690,39.9,42.1,,,https://en.wikipedia.org/wiki/Caucasians,
cedi,-825,-320,25.2,80.3,,,https://en.wikipedia.org/wiki/Cedi,
celtic mercenaries,,,40.0,26.5,,,https://en.wikipedia.org/wiki/Celtic_Mercenaries,
celto-ligurians,-2050,-1,49.1,5.2,,,https://en.wikipedia.org/wiki/Celto-Ligurians,
celts,-1250,-1,44.4,17.1,https://www.worldhistory.org/celt/,,https://en.wikipedia.org/wiki/Celts,
central african peoples,-2400,-1,2.7,22.2,,,https://en.wikipedia.org/wiki/Central_African_Peoples,
central african republic,1990,,7.5,20.0,,,https://en.wikipedia.org/wiki/Central_African_Republic,
chad,1990,,15.0,17.5,,,https://en.wikipedia.org/wiki/Chad,
chadian people,-2250,-1,13.9,12.3,,,https://en.wikipedia.org/wiki/Chadian_People,
chalcidian league,-418,-353,41.9,24.1,https://www.worldhistory.org/Chalcidian_League/,,https://en.wikipedia.org/wiki/Chalcidian_League,
chalcis,-710,-294,37.5,22.5,https://www.worldhistory.org/Chalcis/,,https://en.wikipedia.org/wiki/Chalcis,
chaldaea,-800,-790,31.5,46.5,,,https://en.wikipedia.org/wiki/Chaldaea,
changdi,-770,-608,37.5,117.5,,,https://en.wikipedia.org/wiki/Changdi,
chao,-992,-602,32.5,117.5,,,https://en.wikipedia.org/wiki/Chao,
chaonia,-431,-350,38.3,20.0,,,https://en.wikipedia.org/wiki/Chaonia,
chaonians,-500,-431,42.5,21.0,,,https://en.wikipedia.org/wiki/Chaonians,
chavin culture,-900,-1,-11.0,-76.5,,,https://en.wikipedia.org/wiki/Chavin_Culture,
chen,-770,-480,32.5,114.6,https://www.worldhistory.org/Chen/,,https://en.wikipedia.org/wiki/Chen,
cheng,-770,-408,37.5,115.8,,,https://en.wikipedia.org/wiki/Cheng,
chera,-326,-1,10.0,77.5,,,https://en.wikipedia.org/wiki/Chera,
chinchorro culture,-2400,-1,-18.5,-69.5,,,https://en.wikipedia.org/wiki/Chinchorro_Culture,
chios,-386,-1,37.5,27.5,https://www.worldhistory.org/Chios/,,https://en.wikipedia.org/wiki/Chios,
chola,-326,-1,12.5,80.0,https://www.worldhistory.org/Chola/,,https://en.wikipedia.org/wiki/Chola,
chorrera culture,-1300,-1,-2.5,-80.8,,,https://en.wikipedia.org/wiki/Chorrera_Culture,
chu,-1075,-1,31.5,116.8,https://www.worldhistory.org/Chu/,,https://en.wikipedia.org/wiki/Chu,
cilicia,-588,-539,37.5,34.4,https://www.worldhistory.org/Cilicia/,,https://en.wikipedia.org/wiki/Cilicia,
cimmerian kingdom,-654,-638,38.5,32.7,,,https://en.wikipedia.org/wiki/Cimmerian_Kingdom,
cimmerians,-1450,-1,44.0,35.5,https://www.worldhistory.org/Cimmerians/,,https://en.wikipedia.org/wiki/Cimmerians,
civil war,-464,-314,37.5,82.5,https://www.worldhistory.org/Civil_War/,,https://en.wikipedia.org/wiki/Civil_War,
clan warfare,,,37.5,117.5,,,https://en.wikipedia.org/wiki/Clan_Warfare,
colchis,-1250,-1,42.5,41.6,https://www.worldhistory.org/Colchis/,,https://en.wikipedia.org/wiki/Colchis,
comoros,1990,,-12.5,45.0,,,https://en.wikipedia.org/wiki/Comoros,
cong,-770,-600,32.5,107.5,,,https://en.wikipedia.org/wiki/Cong,
corcyra,-666,-300,38.8,20.0,https://www.worldhistory.org/corcyra/,,https://en.wikipedia.org/wiki/Corcyra,
corinthia,-748,-339,38.3,20.3,https://www.worldhistory.org/Corinthia/,,https://en.wikipedia.org/wiki/Corinthia,
coronea,-386,-379,37.5,22.5,,,https://en.wikipedia.org/wiki/Coronea,
cossaeans,-330,-324,32.5,47.5,,,https://en.wikipedia.org/wiki/Cossaeans,
costa rica,1990,,10.0,-85.0,https://www.worldhistory.org/Costa_Rica/,,https://en.wikipedia.org/wiki/Costa_Rica,
cretan city states,-500,-1,36.6,25.2,,,https://en.wikipedia.org/wiki/Cretan_City_States,
croton,-550,-430,37.5,17.5,https://www.worldhistory.org/Croton/,,https://en.wikipedia.org/wiki/Croton,
cushitic people,-1000,-1,6.0,43.9,,,https://en.wikipedia.org/wiki/Cushitic_People,
cypriot kingdoms,-1180,-1050,34.9,32.5,,,https://en.wikipedia.org/wiki/Cypriot_Kingdoms,
cyprus,1990,,35.0,32.5,https://www.worldhistory.org/cyprus/,,https://en.wikipedia.org/wiki/Cyprus,
cyzicus,-323,-280,42.5,27.0,https://www.worldhistory.org/Cyzicus/,,https://en.wikipedia.org/wiki/Cyzicus,
côte d'ivoire,1990,,7.5,-5.0,,,https://en.wikipedia.org/wiki/Côte_D'ivoire,
d'mt,-980,-1,17.3,40.9,,,https://en.wikipedia.org/wiki/D'mt,
dai,-770,-458,41.0,113.5,https://www.worldhistory.org/Dai/,,https://en.wikipedia.org/wiki/Dai,
dai(2),-770,-714,32.5,115.0,,,https://en.wikipedia.org/wiki/Dai(2),
dali,-550,-272,37.5,107.5,,,https://en.wikipedia.org/wiki/Dali,
dan,-770,-670,29.9,107.5,https://www.worldhistory.org/Dan/,,https://en.wikipedia.org/wiki/Dan,
dao,-770,-638,32.5,112.5,https://www.worldhistory.org/Dao/,,https://en.wikipedia.org/wiki/Dao,
daoi,-330,-1,41.6,54.0,,,https://en.wikipedia.org/wiki/Daoi,
dapeng,-1350,-1208,32.5,117.5,,,https://en.wikipedia.org/wiki/Dapeng,
daradas,-610,-1,37.5,72.5,,,https://en.wikipedia.org/wiki/Daradas,
dardani,-800,-1,42.5,21.0,,,https://en.wikipedia.org/wiki/Dardani,
dasarnas,-610,-350,22.5,77.5,,,https://en.wikipedia.org/wiki/Dasarnas,
dassaretis,-500,-400,42.5,21.0,,,https://en.wikipedia.org/wiki/Dassaretis,
daunians,-800,-324,42.5,15.0,,,https://en.wikipedia.org/wiki/Daunians,
dayenu,,,37.5,42.5,,,https://en.wikipedia.org/wiki/Dayenu,
delian league,-478,-405,38.4,24.5,https://www.worldhistory.org/Delian_League/,,https://en.wikipedia.org/wiki/Delian_League,
delphi,,,37.5,22.5,https://www.worldhistory.org/delphi/,,https://en.wikipedia.org/wiki/Delphi,
deng,-772,-678,32.5,112.5,,,https://en.wikipedia.org/wiki/Deng,
desert cultures,-2400,-1,32.4,-108.6,,,https://en.wikipedia.org/wiki/Desert_Cultures,
di,-771,-408,37.2,113.1,https://www.worldhistory.org/Di/,,https://en.wikipedia.org/wiki/Di,
di(2),-771,-362,32.5,105.0,https://www.worldhistory.org/Di(2)/,,https://en.wikipedia.org/wiki/Di(2),
diauekhi,-931,-592,41.0,42.1,,,https://en.wikipedia.org/wiki/Diauekhi,
dilmun,-2400,-1550,27.2,50.7,https://www.worldhistory.org/Dilmun/,,https://en.wikipedia.org/wiki/Dilmun,
djibouti,1990,,12.5,42.5,,,https://en.wikipedia.org/wiki/Djibouti,
dolopia,-696,-339,37.5,22.5,,,https://en.wikipedia.org/wiki/Dolopia,
domain of amphimakhos,-320,-317,35.5,41.3,,,https://en.wikipedia.org/wiki/Domain_Of_Amphimakhos,
domain of antigenes,-320,-317,30.8,49.1,,,https://en.wikipedia.org/wiki/Domain_Of_Antigenes,
domain of antigonus,-319,-306,36.5,34.7,,,https://en.wikipedia.org/wiki/Domain_Of_Antigonus,
domain of asandros,-320,-315,37.5,27.6,,,https://en.wikipedia.org/wiki/Domain_Of_Asandros,
domain of cassander,-320,-306,38.5,23.1,,,https://en.wikipedia.org/wiki/Domain_Of_Cassander,
domain of eudemus,-320,-316,31.4,73.2,,,https://en.wikipedia.org/wiki/Domain_Of_Eudemus,
domain of eumenes,-317,-316,33.8,52.8,,,https://en.wikipedia.org/wiki/Domain_Of_Eumenes,
domain of lysimakhos,-314,-306,42.9,26.5,,,https://en.wikipedia.org/wiki/Domain_Of_Lysimakhos,
domain of mithridates,-301,-281,41.6,33.8,,,https://en.wikipedia.org/wiki/Domain_Of_Mithridates,
domain of oxyartes,-320,-308,34.1,70.8,,,https://en.wikipedia.org/wiki/Domain_Of_Oxyartes,
domain of peithon,-320,-317,35.2,53.9,,,https://en.wikipedia.org/wiki/Domain_Of_Peithon,
domain of peithon (son of agenor),-320,-316,23.9,67.7,,,https://en.wikipedia.org/wiki/Domain_Of_Peithon_(son_Of_Agenor),
domain of peukestas,-320,-316,28.6,53.0,,,https://en.wikipedia.org/wiki/Domain_Of_Peukestas,
domain of philip,-320,-318,34.9,57.5,,,https://en.wikipedia.org/wiki/Domain_Of_Philip,
domain of philoxenos,,,37.5,35.0,,,https://en.wikipedia.org/wiki/Domain_Of_Philoxenos,
domain of polyperchon,-317,-315,37.5,22.9,,,https://en.wikipedia.org/wiki/Domain_Of_Polyperchon,
domain of ptolemy,-320,-306,32.7,31.6,,,https://en.wikipedia.org/wiki/Domain_Of_Ptolemy,
domain of seleucus,-320,-306,31.4,55.2,,,https://en.wikipedia.org/wiki/Domain_Of_Seleucus,
domain of sibyrtios,-320,-306,29.6,65.3,,,https://en.wikipedia.org/wiki/Domain_Of_Sibyrtios,
domain of stasandros,-320,-316,33.1,61.8,,,https://en.wikipedia.org/wiki/Domain_Of_Stasandros,
domain of stasanor,-320,-306,36.8,64.6,,,https://en.wikipedia.org/wiki/Domain_Of_Stasanor,
domain of tlepolemos,-320,-316,30.8,58.4,,,https://en.wikipedia.org/wiki/Domain_Of_Tlepolemos,
dominica,1990,,17.5,-62.5,,,https://en.wikipedia.org/wiki/Dominica,
dominican republic,1990,,17.5,-70.0,,,https://en.wikipedia.org/wiki/Dominican_Republic,
donghu,-770,-1,44.9,120.0,,,https://en.wikipedia.org/wiki/Donghu,
dongyi peoples,-1500,-1080,37.5,121.5,,,https://en.wikipedia.org/wiki/Dongyi_Peoples,
dorians,-1224,-1,37.4,25.2,,,https://en.wikipedia.org/wiki/Dorians,
doris,-696,-268,37.5,22.5,https://www.worldhistory.org/Doris/,,https://en.wikipedia.org/wiki/Doris,
dravidians,-2400,-1,20.4,80.1,,,https://en.wikipedia.org/wiki/Dravidians,
du,-771,-688,32.5,107.5,https://www.worldhistory.org/Du/,,https://en.wikipedia.org/wiki/Du,
duan,-744,-722,33.3,112.5,,,https://en.wikipedia.org/wiki/Duan,
duchy of jin,-678,-350,36.0,113.0,,,https://en.wikipedia.org/wiki/Duchy_Of_Jin,
dun,-770,-496,32.5,115.0,https://www.worldhistory.org/Dun/,,https://en.wikipedia.org/wiki/Dun,
dvaraka,-610,-318,22.5,69.5,,,https://en.wikipedia.org/wiki/Dvaraka,
e,-770,-700,30.8,114.6,https://www.worldhistory.org/E/,,https://en.wikipedia.org/wiki/E,
east african peoples,-2400,-1,6.1,44.0,,,https://en.wikipedia.org/wiki/East_African_Peoples,
eastern guo,-772,-768,32.5,112.5,,,https://en.wikipedia.org/wiki/Eastern_Guo,
eastern woodland peoples,-2400,-1,41.2,-80.5,,,https://en.wikipedia.org/wiki/Eastern_Woodland_Peoples,
ecuador,1990,,0.0,-85.0,https://www.worldhistory.org/Ecuador/,,https://en.wikipedia.org/wiki/Ecuador,
edomites,-1280,-526,30.4,35.4,,,https://en.wikipedia.org/wiki/Edomites,
egypt: (herakleopolis),-756,-726,27.5,32.5,,,https://en.wikipedia.org/wiki/Egypt:_(herakleopolis),
egypt: (hermopolis),-756,-726,27.5,32.5,,,https://en.wikipedia.org/wiki/Egypt:_(hermopolis),
egypt: areas of unrest,-1992,-1990,30.8,32.5,,,https://en.wikipedia.org/wiki/Egypt:_Areas_Of_Unrest,
egypt: heracleopolitans,-2160,-2160,30.8,32.5,,,https://en.wikipedia.org/wiki/Egypt:_Heracleopolitans,
egypt: hyksos,-1720,-1566,30.9,32.4,,,https://en.wikipedia.org/wiki/Egypt:_Hyksos,
egypt: middle kingdom,-2003,-1662,29.8,31.9,,,https://en.wikipedia.org/wiki/Egypt:_Middle_Kingdom,
egypt: new kingdom,-1568,-1086,30.7,34.2,,,https://en.wikipedia.org/wiki/Egypt:_New_Kingdom,
egypt: old kdm,-2400,-9998,30.8,32.5,,,https://en.wikipedia.org/wiki/Egypt:_Old_Kdm,
egypt: rebellion of pedubast,-830,-828,26.6,32.5,,,https://en.wikipedia.org/wiki/Egypt:_Rebellion_Of_Pedubast,
egypt: revolt of amasis,,,32.5,27.5,,,https://en.wikipedia.org/wiki/Egypt:_Revolt_Of_Amasis,
egypt: tanites,-1086,-945,32.3,32.5,,,https://en.wikipedia.org/wiki/Egypt:_Tanites,
egypt: thebans,-1568,-1568,28.9,32.4,,,https://en.wikipedia.org/wiki/Egypt:_Thebans,
egypt: thirtieth dynasty,-380,-342,31.2,32.4,,,https://en.wikipedia.org/wiki/Egypt:_Thirtieth_Dynasty,
egypt: twenty eighth dynasty,-402,-399,30.7,32.3,,,https://en.wikipedia.org/wiki/Egypt:_Twenty_Eighth_Dynasty,
egypt: twenty fourth dynasty,-716,-714,32.2,32.4,,,https://en.wikipedia.org/wiki/Egypt:_Twenty_Fourth_Dynasty,
egypt: twenty ninth dynasty,-399,-380,30.7,32.3,,,https://en.wikipedia.org/wiki/Egypt:_Twenty_Ninth_Dynasty,
egypt: twenty second dynasty,-946,-726,30.5,32.6,,,https://en.wikipedia.org/wiki/Egypt:_Twenty_Second_Dynasty,
egypt: twenty sixth dynasty,-652,-526,31.1,32.8,,,https://en.wikipedia.org/wiki/Egypt:_Twenty_Sixth_Dynasty,
egypt: twenty sixth dynasty tributary,-610,-606,32.5,35.6,,,https://en.wikipedia.org/wiki/Egypt:_Twenty_Sixth_Dynasty_Tributary,
egypt: twenty third dynasty,-880,-756,26.9,32.5,,,https://en.wikipedia.org/wiki/Egypt:_Twenty_Third_Dynasty,
el paraiso culture,-2000,-900,-10.6,-76.3,,,https://en.wikipedia.org/wiki/El_Paraiso_Culture,
el salvador,1990,,12.5,-90.0,,,https://en.wikipedia.org/wiki/El_Salvador,
elam,-2348,-539,31.4,48.7,https://www.worldhistory.org/elam/,,https://en.wikipedia.org/wiki/Elam,
elamite tributary,-1770,-708,34.2,44.6,,,https://en.wikipedia.org/wiki/Elamite_Tributary,
elimiotis,-540,-358,42.5,21.0,,,https://en.wikipedia.org/wiki/Elimiotis,
elis,-726,-1,37.5,22.5,https://www.worldhistory.org/Elis/,,https://en.wikipedia.org/wiki/Elis,
ellipi,-970,-703,32.5,47.5,,,https://en.wikipedia.org/wiki/Ellipi,
elymians,-1150,-500,37.5,12.5,,,https://en.wikipedia.org/wiki/Elymians,
enchele,-650,-500,42.5,21.0,,,https://en.wikipedia.org/wiki/Enchele,
enzite,-931,-802,37.5,40.0,,,https://en.wikipedia.org/wiki/Enzite,
eordaia,-540,-476,42.5,21.0,,,https://en.wikipedia.org/wiki/Eordaia,
epicnemidian locris,-696,-264,38.6,22.2,,,https://en.wikipedia.org/wiki/Epicnemidian_Locris,
epidauria,-780,-670,37.5,22.5,,,https://en.wikipedia.org/wiki/Epidauria,
epirote ally,-292,275,39.6,16.6,,,https://en.wikipedia.org/wiki/Epirote_Ally,
equatorial guinea,1990,,0.0,10.0,,,https://en.wikipedia.org/wiki/Equatorial_Guinea,
er,-770,-700,32.5,112.5,https://www.worldhistory.org/Er/,,https://en.wikipedia.org/wiki/Er,
eretria,-710,-294,37.5,22.7,https://www.worldhistory.org/Eretria/,,https://en.wikipedia.org/wiki/Eretria,
eriakhi,-880,-704,42.5,45.0,,,https://en.wikipedia.org/wiki/Eriakhi,
erikuakhi,-880,-706,40.1,43.8,,,https://en.wikipedia.org/wiki/Erikuakhi,
eritrea,1990,,15.0,40.0,https://www.worldhistory.org/Eritrea/,,https://en.wikipedia.org/wiki/Eritrea,
erligang culture,-1600,-1400,37.1,109.6,,,https://en.wikipedia.org/wiki/Erligang_Culture,
erlitou culture,-1900,-1600,37.2,110.1,,,https://en.wikipedia.org/wiki/Erlitou_Culture,
etiukhi,-931,-710,40.1,43.8,,,https://en.wikipedia.org/wiki/Etiukhi,
etiuni,-880,-704,42.5,45.0,,,https://en.wikipedia.org/wiki/Etiuni,
etruria,-760,-266,42.5,13.2,https://www.worldhistory.org/Etruria/,,https://en.wikipedia.org/wiki/Etruria,
etruscans,-1725,-516,42.7,11.0,https://www.worldhistory.org/Etruscans/,,https://en.wikipedia.org/wiki/Etruscans,
euboea,-348,-310,37.5,22.5,https://www.worldhistory.org/Euboea/,,https://en.wikipedia.org/wiki/Euboea,
fan,-770,-504,32.5,117.5,https://www.worldhistory.org/Fan/,,https://en.wikipedia.org/wiki/Fan,
fan clan,-500,-491,37.5,112.5,,,https://en.wikipedia.org/wiki/Fan_Clan,
fan(2),-770,-660,37.5,112.5,https://www.worldhistory.org/Fan(2)/,,https://en.wikipedia.org/wiki/Fan(2),
fang,-770,-638,32.5,112.5,,,https://en.wikipedia.org/wiki/Fang,
fei,-770,-530,37.5,115.0,,,https://en.wikipedia.org/wiki/Fei,
feng,-771,-550,32.5,107.5,,,https://en.wikipedia.org/wiki/Feng,
fiji,1990,,-17.5,180.0,https://www.worldhistory.org/Fiji/,,https://en.wikipedia.org/wiki/Fiji,
finns,-2400,-1,58.1,43.9,,,https://en.wikipedia.org/wiki/Finns,
gabon,1990,,0.0,10.0,,,https://en.wikipedia.org/wiki/Gabon,
gambia,1990,,12.5,-15.0,,,https://en.wikipedia.org/wiki/Gambia,
gandhara,-975,-518,33.1,73.1,https://www.worldhistory.org/Gandhara/,,https://en.wikipedia.org/wiki/Gandhara,
gao,-770,-722,32.5,117.5,https://www.worldhistory.org/Gao/,,https://en.wikipedia.org/wiki/Gao,
gao clan,-500,-490,37.5,117.5,,,https://en.wikipedia.org/wiki/Gao_Clan,
gaoluo,-770,-660,37.5,112.5,,,https://en.wikipedia.org/wiki/Gaoluo,
garamantes,-500,-1,27.5,20.0,,,https://en.wikipedia.org/wiki/Garamantes,
ge,-1750,-594,32.5,117.5,https://www.worldhistory.org/Ge/,,https://en.wikipedia.org/wiki/Ge,
gedrosia,-330,-325,29.4,61.5,,,https://en.wikipedia.org/wiki/Gedrosia,
gela,-506,-405,37.5,15.1,https://www.worldhistory.org/Gela/,,https://en.wikipedia.org/wiki/Gela,
geng,-770,-662,37.5,112.5,https://www.worldhistory.org/Geng/,,https://en.wikipedia.org/wiki/Geng,
genmou,-770,-600,37.5,117.5,,,https://en.wikipedia.org/wiki/Genmou,
geshur,-1152,-988,32.5,37.5,,,https://en.wikipedia.org/wiki/Geshur,
getae,-470,-1,44.0,27.0,,,https://en.wikipedia.org/wiki/Getae,
gilead,-1152,-740,32.5,37.5,https://www.worldhistory.org/Gilead/,,https://en.wikipedia.org/wiki/Gilead,
gilzanu,-864,-724,37.5,42.5,https://www.worldhistory.org/Gilzanu/,,https://en.wikipedia.org/wiki/Gilzanu,
gojoseon,-770,-280,39.3,122.7,https://www.worldhistory.org/Gojoseon/,,https://en.wikipedia.org/wiki/Gojoseon,
gong,-770,-280,32.2,109.9,,,https://en.wikipedia.org/wiki/Gong,
gong(2),-770,-670,27.5,107.5,,,https://en.wikipedia.org/wiki/Gong(2),
great chiefs of the meshwesh,-746,-726,32.5,32.5,,,https://en.wikipedia.org/wiki/Great_Chiefs_Of_The_Meshwesh,
greek alliance,-481,-478,37.6,25.5,,,https://en.wikipedia.org/wiki/Greek_Alliance,
greek mercenaries,,,35.0,32.5,,,https://en.wikipedia.org/wiki/Greek_Mercenaries,
greeks,-630,-402,38.9,33.5,https://www.worldhistory.org/Greeks/,,https://en.wikipedia.org/wiki/Greeks,
grenada,1990,,12.5,-62.5,,,https://en.wikipedia.org/wiki/Grenada,
gu,-1750,-700,34.9,114.9,https://www.worldhistory.org/Gu/,,https://en.wikipedia.org/wiki/Gu,
gu(2),-770,-520,37.5,117.5,https://www.worldhistory.org/Gu(2)/,,https://en.wikipedia.org/wiki/Gu(2),
guang,-770,-650,32.5,115.0,,,https://en.wikipedia.org/wiki/Guang,
guatemala,1990,,15.0,-90.0,https://www.worldhistory.org/Guatemala/,,https://en.wikipedia.org/wiki/Guatemala,
gui,-771,-688,32.5,107.5,https://www.worldhistory.org/Gui/,,https://en.wikipedia.org/wiki/Gui,
guifang,-1400,-1,40.4,103.6,,,https://en.wikipedia.org/wiki/Guifang,
guinea,1990,,10.0,-12.5,,,https://en.wikipedia.org/wiki/Guinea,
guinea bissau,1990,,12.5,-15.0,,,https://en.wikipedia.org/wiki/Guinea_Bissau,
guo,-770,-670,37.5,117.5,,,https://en.wikipedia.org/wiki/Guo,
guo clan,-500,-490,37.5,117.5,,,https://en.wikipedia.org/wiki/Guo_Clan,
gurgum,-1190,-605,37.5,37.5,,,https://en.wikipedia.org/wiki/Gurgum,
guti,-2348,-2120,34.5,46.2,https://www.worldhistory.org/Guti/,,https://en.wikipedia.org/wiki/Guti,
guti tributary,-2193,-2120,32.5,46.1,,,https://en.wikipedia.org/wiki/Guti_Tributary,
guyana,1990,,5.0,-60.0,,,https://en.wikipedia.org/wiki/Guyana,
guzanu,-810,-758,37.5,40.0,,,https://en.wikipedia.org/wiki/Guzanu,
guzhu,-770,-662,40.1,117.2,,,https://en.wikipedia.org/wiki/Guzhu,
haihayas,-610,-550,22.5,75.0,,,https://en.wikipedia.org/wiki/Haihayas,
haiti,1990,,20.0,-72.5,https://www.worldhistory.org/Haiti/,,https://en.wikipedia.org/wiki/Haiti,
haliartos,-386,-379,37.5,22.5,,,https://en.wikipedia.org/wiki/Haliartos,
hamaranu,-812,-746,32.5,44.2,,,https://en.wikipedia.org/wiki/Hamaranu,
han,-770,-616,32.5,117.5,https://www.worldhistory.org/Han/,,https://en.wikipedia.org/wiki/Han,
han(2),-770,-758,37.5,112.5,https://www.worldhistory.org/Han(2)/,,https://en.wikipedia.org/wiki/Han(2),
hann,-453,-1,33.4,113.0,https://www.worldhistory.org/Hann/,,https://en.wikipedia.org/wiki/Hann,
hann clan,-500,-453,34.9,112.5,,,https://en.wikipedia.org/wiki/Hann_Clan,
