Search Term,Date From,Date To,Center Lat,Center Lon,WHE 1,WHE 2,Wiki 1,Wiki 2
tanzania,1990,1990,-6.5,35.0,https://www.worldhistory.org/Tanzania/,,https://en.wikipedia.org/wiki/Tanzania,
nigeria,1990,1990,9.0,8.5,https://www.worldhistory.org/Nigeria/,,https://en.wikipedia.org/wiki/Nigeria,
ghana,1990,1990,8.0,-1.0,https://www.worldhistory.org/Ghana/,,https://en.wikipedia.org/wiki/Ghana,
mali,1990,1990,17.5,0.0,https://www.worldhistory.org/Mali/,,https://en.wikipedia.org/wiki/Mali,
south africa,1990,1990,-28.5,24.5,https://www.worldhistory.org/South_Africa/,,https://en.wikipedia.org/wiki/South_Africa,
madagascar,1990,1990,-19.0,47.5,https://www.worldhistory.org/Madagascar/,,https://en.wikipedia.org/wiki/Madagascar,
congo,1990,1990,0.0,21.5,https://www.worldhistory.org/Congo/,,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,
angola,1990,1990,-11.5,18.0,https://www.worldhistory.org/Angola/,,https://en.wikipedia.org/wiki/Angola,
mozambique,1990,1990,-18.5,36.5,https://www.worldhistory.org/Mozambique/,,https://en.wikipedia.org/wiki/Mozambique,
zambia,1990,1990,-13.0,27.5,https://www.worldhistory.org/Zambia/,,https://en.wikipedia.org/wiki/Zambia,
zimbabwe,1990,1990,-19.0,29.5,https://www.worldhistory.org/Zimbabwe/,,https://en.wikipedia.org/wiki/Zimbabwe,
india,1990,1990,22.5,83.0,https://www.worldhistory.org/india/,,https://en.wikipedia.org/wiki/India,
china,1990,1990,36.0,104.0,https://www.worldhistory.org/china/,,https://en.wikipedia.org/wiki/China,
japan,1990,1990,38.0,137.5,https://www.worldhistory.org/Ancient_Japan/,,https://en.wikipedia.org/wiki/Japan,
korea,1990,1990,38.0,128.0,https://www.worldhistory.org/Korea/,,https://en.wikipedia.org/wiki/Korea,
north korea,1990,1990,40.0,127.5,https://www.worldhistory.org/North_Korea/,,https://en.wikipedia.org/wiki/North_Korea,
south korea,1990,1990,36.5,127.5,https://www.worldhistory.org/South_Korea/,,https://en.wikipedia.org/wiki/South_Korea,
mongolia,1990,1990,46.5,103.5,https://www.worldhistory.org/Mongolia/,,https://en.wikipedia.org/wiki/Mongolia,
