Search Term,Date From,Date To,Center Lat,Center Lon
ju(2),-771,-550,32.5,107.5
judah,-932,-582,32.2,35.6
judah tributary,-794,-736,30.4,35.5
jun,-770,-612,32.5,110.8
kaccha,-610,-318,22.5,70.0
kadmuhu,-1136,-1112,37.5,40.0
kalama,-610,-518,27.5,82.5
kalasma,-1324,-1322,37.5,37.5
kalaurian amphictiony,-670,-494,37.5,22.5
kalinga,-700,262,19.5,83.8
kamarina,-466,-405,37.5,12.5
kamboja,-700,-536,34.6,70.3
kappadokia,-330,-1,38.9,35.9
karakhar,-2072,-1168,32.5,47.5
karalla,-718,-706,37.5,47.5
karmania,-330,-325,30.4,56.5
karusha,-610,-302,22.5,82.5
kasheyas,-364,-364,24.9,82.5
kasi,-850,-600,25.8,82.5
kaskas,-1600,-712,41.4,35.5
kasmira,-500,-256,34.9,75.0
kassites,-2400,-1313,33.5,46.1
kazakhstan,1990,,50.0,65.0
kekaya,-950,-516,32.5,72.5
kenya,1990,,2.5,37.5
khoisan peoples,-2400,-1,-16.8,27.1
khorasmia,-330,-1,40.6,59.4
kimash,-1752,-1600,32.5,47.5
kingdom of adab,-2354,-2253,31.9,47.0
kingdom of adanaya,-1850,-1518,37.5,35.0
kingdom of akshak,-2372,-2284,33.3,43.0
kingdom of alakhtum,-2400,-2200,37.5,37.5
kingdom of andarig,-1826,-1726,37.5,42.5
kingdom of argos,-780,-494,37.5,22.5
kingdom of armenia,-323,-1,38.9,41.1
kingdom of arrapha,-1726,-760,37.5,44.5
kingdom of assyria,-1920,-906,36.4,42.4
kingdom of awan,-2400,-1170,31.1,50.6
kingdom of babylon,-1898,-482,32.8,44.8
kingdom of carchemish,-1190,-606,37.5,37.5
kingdom of cyrene,-632,-1,33.1,20.7
kingdom of der,-2075,-1228,32.5,46.1
kingdom of ebla,-2400,-2000,35.6,38.6
kingdom of epirus,-330,-1,39.4,19.5
kingdom of eshnunna,-2026,-1730,34.0,43.8
kingdom of hamath,-1180,-606,35.3,37.5
kingdom of illyria,-400,-1,41.6,20.9
kingdom of irqata,-2400,-2198,34.9,37.5
kingdom of isin,-2018,-1795,32.7,46.7
kingdom of israel,-1036,-932,32.2,36.2
kingdom of judah,-1004,-1004,32.5,36.5
kingdom of kanesh,-1850,-1648,38.2,36.3
kingdom of kazallu,-2020,-1790,32.5,44.5
kingdom of kish,-2380,-1839,33.0,43.9
kingdom of kisurra,-2138,-2112,32.5,47.5
kingdom of kummuh,-1190,-607,37.5,37.5
kingdom of kush,-1776,-1,29.0,32.3
kingdom of kussara,-1800,-1676,38.3,36.1
kingdom of lagash,-2340,-1920,32.5,48.2
kingdom of larsa,-2270,-1736,32.5,46.4
kingdom of lysimakhos,-306,-281,40.0,26.3
kingdom of macedon,-650,-301,36.1,34.5
kingdom of macedonia,-277,-1,39.5,22.8
kingdom of malgium,-1936,-1846,32.5,45.0
kingdom of mari,-2400,-2190,34.3,41.7
kingdom of melid,-1190,-626,37.5,37.5
kingdom of mitanni,-1586,-1290,37.2,38.5
kingdom of purushanda,-1776,-1627,37.5,35.0
kingdom of qadesh,-1362,-1336,34.9,37.5
kingdom of qatna,-1930,-1444,34.9,37.5
kingdom of rome,-725,-510,42.5,15.0
kingdom of sam'al,-920,-605,37.5,37.5
kingdom of sindica,-480,-380,46.2,39.0
kingdom of sparta,-778,-1,37.1,22.9
kingdom of syracuse,-304,-263,38.0,15.9
kingdom of terqa,-1742,-1512,34.9,40.0
