RefName,Lon,Lat,FromYear,ToYear
Simyra,35.997,34.7173,-2000,640
Jabesh-Gilead,35.5951,32.399,-1650,-600
Kabul,35.2022,32.8697,-1100,
Sebeste,35.195,32.2764,-876,
Jenin,35.3025,32.4618,-1500,
Succoth,35.6031,32.1889,-1550,-450
Ramoth-Gilead,36.0167,32.5,-1050,-500
Al-Karak,35.7033,31.1832,-2400,
Madaba,35.7945,31.7173,-1500,
Petra,35.4419,30.3286,-1200,363
Arad,35.125,31.2808,-2400,700
Tripoli,35.812,34.449,-750,
Babylon,44.42083,32.60306,-2400,
Kish,44.65,32.55,-2400,560
Cutha,44.61278,32.75722,-2400,-100
Marad,44.78333,32.06667,-2400,-150
Dilbat,44.45745,32.28507,-2400,800
Akkad,44.3871,33.3258,-2400,-415
Borsippa,44.34169,32.392,-2050,700
Urum?,44.68333,32.78333,-2400,-560
Sippar,44.25222,33.05889,-2400,200
Dur-Samsu-iluna,44.55575,33.35468,-2400,-1500
Shaduppum,44.46667,33.36667,-2400,-1792
Eshnunna,44.75,33.75,-2400,-1700
Harada,41.6,34.43333,-1900,-550
Mari,40.89,34.54944,-2400,-300
Ashara,40.567,34.9321,-2400,
Kazallu,44.4255,32.7195,-2400,-1700
Ctesiphon,44.5806,33.0936,-2100,750
Rapiqu(m),43.9052,33.2783,-2200,-650
Hit,42.8696,33.6335,-2400,
Nerebtum,44.65,33.7167,-2100,-1200
Ana,41.9918,34.4593,-1950,
Harbu,42.6355,33.7135,-1875,-575
Yabliya,42.6221,33.8177,-1975,-1200
Mulhan,42.4833,33.9421,-1925,-1300
Sab/piritu,42.2147,34.1993,-2000,-750
Mishlan,40.9319,34.3988,-1950,-1400
Samanum,40.518,34.8236,-1975,-1450
Sippar-Anunnitu,44.4833,33.1667,-2250,-425
Mankisum,44.4859,33.6514,-2125,-1375
Shitallum,43.7759,34.4981,-1925,-1650
Dur-Galzu,44.2022,33.3536,-1397,-475
Eridu,45.99607,30.81584,-2400,-550
Dur-Yakin,46.33333,30.83333,-2400,-707
Ur,46.10306,30.9625,-2400,-400
Larsa,45.85361,31.28583,-2400,100
Uruk,45.63611,31.32222,-2400,700
City of Lagash,46.40722,31.41139,-2400,-1750
Girsu,46.15,31.61667,-2400,-1700
Umma,45.86667,31.63333,-2400,-1600
Zabala,45.87139,31.73639,-2400,-1500
Bad-tibira,46.0,31.76667,-2400,-1750
Shuruppak,45.50976,31.77736,-2400,-1980
Kisurra,45.43333,31.83333,-2400,-1300
Isin,45.28333,31.93333,-2400,-330
Adab,45.96667,31.95,-2400,-1250
Dur Untush,48.52083,32.00833,-1250,-1240
Kabnak,48.32639,32.07889,-1600,-500
Nufar,45.23083,32.12694,-2400,800
Der,45.931389,33.123611,-2400,-300
(Godin Tepe),48.06667,34.51667,-2400,-500
Shush,48.25779,32.18922,-2400,
Me-Turran,45.05464,34.09729,-2075,-375
Zurghul,46.64737,31.37104,-2400,
Kutalla,45.64737,31.46154,-2000,-1550
Kakru,45.71164,31.80995,-2400,-1250
Awan,47.5269,33.1244,-2400,-1950
Larak,45.51852,32.60259,-2400,-525
Akshak,45.7043,34.181,-2400,-2000
Urua (Arawa)?,47.12995,32.67453,-2400,-1500
Ram Hormizd,49.41222,31.36028,-2200,700
Zabban,45.6017,34.8808,-2400,-500
Malgium,45.2293,32.7703,-2000,-1550
Hamadan,48.512209,34.799294,-1200,
Isfahan,51.69519,32.64706,-2400,
Anshan,52.40778,30.01167,-2400,600
Huhnur,50.52802,30.78231,-2400,-1100
Pasargadae,53.172733,30.191439,-550,300
(Shahr-e Sukhteh),61.32639,30.59528,-2400,-1800
Herat,62.188384,34.345833,-650,
Farah,61.490615,32.452692,-544,
Zranka/Zarin,61.136446,30.779792,-544,-309
(Mundigak),65.5246,31.9039,-2400,-1900
Kapisa,69.755491,34.951323,-1250,1400
Kabul,69.18024,34.521818,-1200,
Ghazni,68.388483,33.498616,-700,
Kandahar,65.700272,31.61088,-875,
(Harappa),72.86389,30.6289,-2400,-1700
Peucela,71.736,34.168,-1300,180
Taxila,72.7875,33.745833,-1000,700
Sialkot,74.541542,32.238201,-950,
(Sanxingdui),104.2,30.993,-1600,-1100
Chengdu,104.066111,30.656944,-1200,
Quanqiu,104.976944,34.100833,-1034,
Xi'an,108.768333,34.2755,-1051,
Qishan,107.842697,34.494169,-1120,-200
Baoji,107.238056,34.363056,-1120,
Enshi,109.483333,30.283333,-1100,
Tianshui,105.733333,34.583333,-900,
Qian,106.789722,34.834722,-776,-210
Xidu,107.420556,34.56,-762,1000
Baoji,107.238056,34.363056,-900,
(Erlitou),112.697078,34.701758,-1900,-1500
Zhengzhou,113.683889,34.763889,-1570,
(Panlongcheng),114.26,30.6966,-1455,-1300
Qi,114.7831,34.5489,-1590,-770
Luoyang,112.442222,34.669722,-2070,
Wangcheng,112.307622,34.669722,-1026,25
Dengfeng,113.025278,34.455278,-2070,
Shangcai,114.2639,33.2619,-1045,
Danyang,111.4241,32.6379,-1030,-600
Ezhou,114.8833,30.4,-1020,
Sanmenxia,111.2011,34.7731,-816,
Xi,114.74,32.3431,-1122,-200
Jingzhou,112.2419,30.3361,-2400,
Xuzhou,117.216667,34.266667,-1450,
Xintai,117.768056,34.908889,-770,
Shangqiu,115.656111,34.415,-1045,
Wuxi,120.3,31.566667,-1126,
Shaoxing,120.579167,30.001667,-489,
Suzhou,120.585278,31.299722,-700,
Sala,-6.821498,34.006821,-750,720
Ibiza,1.432146,38.908393,-654,
Tipaza,2.441918,36.594243,-610,
Algiers,3.053218,36.768912,-540,
Dellys,3.909645,36.912855,-550,
Tigzirt,4.123272,36.894893,-530,
Cherchell,2.19185,36.607058,-590,
Tenes,1.310964,36.510044,-810,
Quiza Xenitana,0.241679,36.02993,-520,550
Annaba,7.751272,36.882478,-1150,
Nora,9.015282,38.984818,-780,750
Sulci,8.4547,39.061743,-716,700
Tharros,8.440249,39.879432,-710,1070
Cagliari,9.109522,39.214886,-700,
Jijel,5.766168,36.8213,-580,
Bizerte,9.87311,37.27615,-1100,
Dugga,9.21869,36.42324,-595,1000
Tabarka,8.749747,36.956778,-600,1000
Bejaia,5.057965,36.740851,-560,1000
Utica,10.061305,37.055611,-1102,700
Carthage,10.3233,36.8528,-814,
Lentini,14.998115,37.285478,-730,
Motya,12.469698,37.868091,-716,-30
Hadrumetum,10.63878,35.825866,-850,900
Palermo,13.353442,38.11127,-734,
Mdina,14.400124,35.885167,-703,
Terranova di Sicilia,14.25847,37.063093,-688,
Acre,14.896706,37.058593,-664,540
Termini Imerese,13.822496,37.970797,-648,
Kasmenai,14.836284,37.073804,-644,-212
Selinus,12.872912,37.572937,-628,-250
Camarina,14.46942,36.860289,-598,853
Agrigento,13.58548,37.290594,-582,
Segesta,12.83249,37.941433,-900,900
Lipari,14.9539,38.467419,-578,
(Kerkouane),11.09886,36.947009,-650,-250
Heraclea Minoa,13.27982,37.391916,-550,70
Eryx,12.58361,38.036517,-850,100
Trapani,12.51782,38.017128,-800,
Soluntum,13.5313,38.092439,-725,830
Mineo,14.69094,37.266404,-460,
Palike,14.69736,37.329954,-454,-440
Inessa/Aetna,14.9,37.61667,-476,100
Caronia,14.44077,38.024474,-447,
Enna,14.28015,37.5672,-1150,
Adrano,14.83337,37.66197,-400,
Entella,13.12498,37.77398,-750,1240
Agira,14.52599,37.65624,-550,
Centuripe,14.74002,37.62407,-500,
Kelibia,11.11579,36.83851,-450,
Cefalu,14.02557,38.03814,-600,
Apollonia (Sicily),14.59565,38.03247,-390,250
Licata,13.93184,37.10001,-282,
Halaesa,14.2629,37.99799,-403,100
Corfu,19.9156,39.6063,-740,
Naxos,15.2678,37.8225,-734,-404
Syracuse,15.2792,37.0716,-734,
Megara/Hyblaea,15.1818,37.2037,-726,-30
Catania,15.0881,37.503,-728,
Messina,15.5566,38.1923,-724,
Reggio di Calabria,15.647,38.1107,-1100,
Copia/Thruii,16.4909,39.7157,-720,1350
Milazzo,15.240438,38.219365,-716,
Crotone,17.12797,39.08117,-710,
Helorus,15.1074,36.8415,-700,50
Epizephyrian Locris,16.2443,38.2263,-680,915
Caulonia,16.4098,38.3825,-650,-200
Vibo Valentia,16.0976,38.6756,-646,
Laus,15.8244,39.7677,-638,50
Medma,15.9764,38.4873,-614,100
Tempsa,16.1596,39.0365,-516,550
Terina,16.2389,38.9449,-480,540
Sybaris on the Traeis,16.771,39.5906,-444,-350
Tindari,15.0446,38.1427,-396,900
Taormina,15.2921,37.8524,-396,
Cosenza,16.253611,39.295395,-500,
Phaistos,24.8143,35.0465,-2400,-220
Aegina,23.4469,37.7506,-2000,
Mycenae,22.7564,37.7308,-2400,-464
Tiryns,22.7997,37.5994,-2400,-468
(Pavlopetri),22.98861,36.51694,-2400,-1000
Iolcos,22.96886,39.366305,-1700,-294
Thebes (Greece),23.327577,38.319156,-2400,
Gla,23.181914,38.484051,-2000,-378
Orchomenus (Boeotia),22.978315,38.494575,-1650,
Therapne,22.454916,37.060007,-2000,-1160
Kichyros,20.527922,39.246912,-1550,330
Thermon,21.667571,38.558783,-1500,-189
Delphi,22.501169,38.482289,-1600,
Kirra,22.45194,38.44704,-1350,-586
Calydon,21.533182,38.372926,-1575,-31
Eutresis,23.2086,38.1846,-2400,-1180
Old Eretria,23.682171,38.411782,-2100,-600
Brauron,23.993611,37.929167,-2000,-250
Argos,22.719464,37.631561,-2400,
Lerna,22.718326,37.551241,-2400,-1150
Athens,23.726158,37.97583,-2400,
Pylos,21.695,37.028,-2400,-621
Aigeira,22.377887,38.129793,-2400,
(Teichos Dymaion),21.4032,38.1566,-2400,-1200
Sparti,22.427298,37.077905,-950,
Amyclae,22.437225,37.026007,-930,-740
Messene,21.92169,37.179299,-950,
Helos,22.6075,36.843333,-950,-10
Chalkida,23.621937,38.457139,-1550,
Asine,22.874167,37.526667,-850,-700
Ampheia,22.075138,37.264193,-750,350
Corinth,22.89998,37.898002,-900,1858
Megara,23.340163,37.985078,-850,
Elis,21.375091,37.891781,-1100,
Olympia,21.630875,37.638689,-776,
Lepreum,21.726002,37.432321,-725,950
Helike,22.144303,38.220538,-1250,-374
Rhypes,22.018942,38.213931,-750,-30
Scione,23.574785,39.939063,-702,540
Buchetium,20.850515,39.160816,-702,640
Eretria,23.791806,38.399266,-700,540
Makyneia,21.726328,38.355157,-700,
Karystos,24.420381,38.016541,-1300,
Pandosia,20.677687,39.278395,-685,330
Sicyon,22.712193,37.983819,-1350,300
Elateia (Epirus),20.715556,39.163333,-668,-350
Alea,22.420672,37.455301,-875,
